id,sex,bizflag,zip,zip_bins,numords,dollars,last,sincepurch,version1,owntaxprod,upgraded,res1
1,U,1,99999,20,1,129.5,11,1,0,0,0,0
2,U,1,99999,20,2,65,4,14,0,0,0,0
3,U,1,99999,20,1,24.5,13,36,1,0,0,0
4,U,1,99999,20,1,80.5,5,19,1,0,0,0
5,U,1,99999,20,1,111,14,7,0,0,0,0
6,U,1,99999,20,1,61.5,14,20,0,0,1,0
7,U,1,99999,20,1,56,5,27,0,0,1,0
8,U,1,99999,20,1,39.5,4,2,0,0,0,0
9,U,1,99999,20,1,22,17,1,0,0,0,1
10,U,1,99999,20,2,113,7,15,0,0,0,0
11,U,1,99999,20,1,14.5,11,15,0,0,0,1
12,U,1,99999,20,1,59.5,36,2,0,0,0,0
13,U,1,99999,20,3,63,7,10,0,0,0,0
14,U,1,99999,20,2,89,23,20,0,0,1,0
15,U,1,99999,20,3,80.5,19,21,0,0,1,0
16,U,1,99999,20,3,46,4,35,1,0,0,0
17,U,1,99999,20,1,14.5,33,17,1,0,0,0
18,U,1,99999,20,3,62,2,22,0,1,1,0
19,U,1,99999,20,1,48.5,16,28,0,0,1,0
20,U,1,99999,20,4,228,21,22,0,1,1,0
21,U,1,99999,20,1,18.5,3,12,0,0,0,0
22,U,1,99999,20,2,94,1,18,1,0,0,0
23,U,1,99999,20,5,144.5,18,23,0,0,1,0
24,U,1,99999,20,2,114,5,1,0,0,0,0
25,U,1,99999,20,1,19.5,19,2,0,0,0,0
26,U,1,99999,20,2,55,28,11,0,0,0,0
27,U,1,99999,20,3,96.5,4,27,0,0,1,0
28,U,1,99999,20,2,55,26,18,1,0,0,0
29,U,1,99999,20,3,53,9,31,0,0,1,0
30,U,1,99999,20,5,171.5,2,13,0,0,0,1
31,U,1,99999,20,3,176,6,35,0,0,1,0
32,U,1,99999,20,1,53.5,24,1,0,0,0,0
33,U,1,99999,20,4,136.5,25,23,0,0,1,0
34,U,1,99999,20,5,87,13,22,0,0,1,0
35,U,1,99999,20,1,47,22,7,0,0,0,0
36,U,1,99999,20,1,112,17,15,0,0,0,0
37,U,1,99999,20,2,44,32,21,0,0,1,0
38,U,1,99999,20,3,109.5,13,33,0,1,1,0
39,U,1,99999,20,2,34,1,11,0,0,0,0
40,U,1,99999,20,1,7,30,36,1,0,0,0
41,M,0,0,1,3,279,24,8,0,0,0,0
42,M,0,0,1,4,126.5,3,3,0,0,0,0
43,M,0,0,1,2,134,35,32,1,0,0,0
44,M,0,0,1,2,209.5,11,7,0,0,0,0
45,M,0,99999,20,5,206.5,6,34,1,0,0,0
46,M,0,99999,20,2,54,13,26,1,0,0,0
47,M,0,99999,20,1,24.5,17,5,0,0,0,0
48,M,0,99999,20,1,7,7,16,0,0,1,0
49,M,0,99999,20,3,69,5,15,0,0,0,0
50,M,0,99999,20,2,39,11,4,0,1,0,0
51,M,0,99999,20,1,29.5,2,5,0,0,0,0
52,M,0,99999,20,2,60.5,22,15,0,0,0,0
53,M,0,99999,20,1,44.5,24,8,0,0,0,0
54,M,0,99999,20,1,5,28,10,0,0,0,0
55,M,0,0,1,3,76.5,4,1,0,0,0,0
56,M,0,0,1,1,19.5,4,24,1,0,0,0
57,M,0,99999,20,4,253,33,30,1,0,0,0
58,M,0,99999,20,2,36.5,24,26,1,0,0,0
59,M,0,99999,20,1,49.5,13,3,0,0,0,1
60,M,0,99999,20,2,379,7,6,0,0,0,0
